timestamp_ns,seq,real,imag
1775059750380520744,10236,0x555C000A,0xAAAC0005
1775059750380533401,10237,0x555C000A,0xAAAC0005
1775059750380544912,10238,0x555C000A,0xAAAC0005
1775059750380556423,10239,0x555C000A,0xAAAC0005
1775059750390008581,10240,0x555C000A,0xAAAC0005
1775059750390059678,10241,0x555C000A,0xAAAC0005
1775059750390072699,10242,0x555C000A,0xAAAC0005
1775059750390085461,10243,0x555C000A,0xAAAC0005
1775059750390097545,10244,0x555C000A,0xAAAC0005
1775059750390110410,10245,0x555C000A,0xAAAC0005
1775059750390122650,10246,0x555C000A,0xAAAC0005
1775059750390134526,10247,0x555C000A,0xAAAC0005
1775059750390146298,10248,0x555C000A,0xAAAC0005
1775059750390158538,10249,0x555C000A,0xAAAC0005
1775059750390170101,10250,0x555C000A,0xAAAC0005
1775059750390181977,10251,0x555C000A,0xAAAC0005
1775059750390198489,10252,0x555C000A,0xAAAC0005
1775059750390210781,10253,0x555C000A,0xAAAC0005
1775059750390222657,10254,0x555C000A,0xAAAC0005
1775059750390234585,10255,0x555C000A,0xAAAC0005
1775059750390246044,10256,0x555C000A,0xAAAC0005
1775059750390258388,10257,0x555C000A,0xAAAC0005
1775059750390269899,10258,0x555C000A,0xAAAC0005
1775059750390281254,10259,0x555C000A,0xAAAC0005
1775059750390292661,10260,0x555C000A,0xAAAC0005
1775059750390303964,10261,0x555C000A,0xAAAC0005
1775059750390315475,10262,0x555C000A,0xAAAC0005
1775059750390326830,10263,0x555C000A,0xAAAC0005
1775059750390338549,10264,0x555C000A,0xAAAC0005
1775059750390350529,10265,0x555C000A,0xAAAC0005
1775059750390361884,10266,0x555C000A,0xAAAC0005
1775059750390373395,10267,0x555C000A,0xAAAC0005
1775059750390385167,10268,0x555C000A,0xAAAC0005
